Year,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,United Kingdom,Hong Kong SAR,Ireland,Italy,Japan,Korea,Malaysia,Netherlands,Norway,New Zealand,Sweden,Thailand,United States,South Africa
31.03.1991,89.30,78.96,97.47,112.50,88.64,84.20,92.70,135.60,102.71,101.99,46.23,85.93,80.09,113.56,111.35,61.55,71.50,86.49,77.14,118.80,67.75,94.00,72.33
30.06.1991,90.37,77.78,100.93,113.30,90.78,85.26,96.40,133.62,104.85,101.63,52.19,81.40,83.04,113.39,115.27,66.55,73.50,86.49,76.33,118.26,75.83,94.34,75.36
30.09.1991,93.12,81.18,95.25,115.94,91.48,84.91,98.65,127.53,107.17,103.62,61.04,86.49,84.28,113.20,113.95,68.45,73.75,85.33,76.98,118.80,77.04,94.45,78.32
31.12.1991,93.12,82.23,96.40,113.07,91.81,85.53,102.95,120.74,105.59,102.71,68.22,89.58,86.31,111.99,110.58,69.75,75.36,83.71,76.57,117.71,81.50,94.12,80.55
31.03.1992,92.50,83.40,98.00,111.67,92.55,84.95,98.30,117.35,102.65,101.09,74.18,89.37,91.86,110.77,107.88,72.02,78.47,81.57,76.19,112.26,83.61,94.30,80.90
30.06.1992,92.77,85.44,98.76,110.28,93.57,84.95,96.07,111.19,102.37,98.55,80.89,86.15,95.62,109.38,105.82,74.72,76.94,82.28,77.31,110.08,84.82,94.26,79.46
30.09.1992,92.85,86.28,99.00,107.35,94.25,83.33,95.78,103.34,103.46,98.92,82.67,89.83,97.48,107.98,104.15,75.67,81.67,82.52,77.80,106.81,85.57,94.25,78.82
31.12.1992,93.74,86.38,101.14,106.05,94.34,81.18,95.31,97.68,101.83,95.12,79.87,89.97,98.55,106.63,103.89,76.24,81.66,80.14,77.89,99.73,88.82,94.57,80.82
31.03.1993,94.63,86.87,102.01,104.57,95.49,80.11,94.52,96.27,100.19,95.66,79.31,87.18,99.64,105.28,103.28,77.08,83.10,77.29,78.71,95.37,90.33,94.88,82.10
30.06.1993,95.25,89.33,102.01,104.87,96.75,79.57,95.94,96.91,100.69,96.38,84.84,87.65,100.46,104.43,102.42,77.93,85.19,81.33,79.45,95.37,95.17,95.47,82.79
30.09.1993,95.34,90.22,99.76,102.62,97.33,83.33,96.67,97.61,102.40,98.37,91.24,92.01,101.43,103.57,101.05,78.56,87.52,84.42,80.97,94.82,95.47,96.28,84.66
31.12.1993,96.23,93.22,100.99,102.80,97.57,88.17,96.81,100.87,101.14,96.56,91.36,90.47,100.33,102.89,100.45,79.51,89.19,86.80,82.80,95.91,95.85,97.22,86.32
31.03.1994,97.29,93.36,105.53,104.45,98.36,93.28,95.92,103.34,99.62,97.65,105.22,93.64,99.61,102.22,100.29,81.96,92.54,89.66,87.47,97.55,90.86,97.52,88.66
30.06.1994,98.45,94.80,104.65,104.10,99.32,93.28,96.23,105.04,100.60,98.92,108.82,90.31,98.75,101.81,100.12,81.87,93.76,92.27,90.40,100.27,94.03,97.76,92.09
30.09.1994,99.96,97.37,103.00,103.58,99.66,91.94,97.38,103.98,102.39,100.72,108.05,91.98,99.59,101.41,100.05,84.77,97.32,95.84,93.12,101.36,93.81,98.16,94.72
31.12.1994,99.51,97.16,104.23,101.99,99.65,93.28,97.11,102.71,101.08,100.00,106.28,97.27,98.94,101.05,100.15,89.47,96.06,95.60,94.87,99.73,97.28,98.47,96.29
31.03.1995,100.49,98.01,101.42,101.40,99.90,95.43,98.67,101.93,98.83,99.10,104.29,99.69,98.37,100.69,100.05,94.48,97.34,95.84,96.71,99.73,96.98,98.88,98.37
30.06.1995,99.78,98.62,98.84,100.82,100.35,98.92,99.90,100.87,99.59,100.18,102.83,96.04,99.42,100.24,100.05,98.42,98.67,99.88,98.41,101.36,98.49,99.57,100.10
30.09.1995,99.96,101.42,99.79,99.79,100.03,101.34,100.56,98.89,101.42,101.09,97.24,100.12,100.64,99.79,99.95,101.90,101.33,101.55,101.16,100.27,101.74,100.43,100.49
31.12.1995,99.78,101.95,99.95,97.99,99.72,104.30,100.87,98.32,100.16,99.64,95.65,104.15,101.57,99.29,99.95,105.20,102.66,102.73,103.71,98.64,102.79,101.12,101.05
31.03.1996,99.60,99.90,98.74,96.55,99.27,105.91,101.25,100.09,99.11,101.09,101.43,104.61,102.59,98.79,100.25,109.19,105.59,103.92,108.51,99.18,101.81,101.96,102.40
30.06.1996,100.84,101.24,100.86,96.19,98.92,108.60,101.97,103.63,100.29,101.27,105.81,106.12,103.08,98.34,100.59,112.47,109.04,108.68,110.20,100.27,105.14,102.66,103.27
30.09.1996,101.20,103.36,99.47,95.99,98.58,111.83,102.03,107.02,102.41,105.24,108.79,117.88,104.32,97.89,100.72,114.53,113.03,110.82,110.32,101.91,100.30,103.13,103.87
31.12.1996,101.46,104.16,100.04,93.26,98.09,116.40,102.22,111.19,101.71,107.05,119.79,119.26,105.38,97.58,101.32,115.48,115.43,113.44,112.05,101.91,101.06,103.77,104.87
31.03.1997,102.35,100.14,101.22,92.67,97.78,119.35,102.42,119.19,97.69,108.50,142.65,119.72,107.07,97.26,103.25,117.32,119.15,115.10,115.93,103.54,104.38,104.46,106.15
30.06.1997,103.68,103.83,103.77,91.61,97.42,122.58,103.22,123.29,100.76,110.67,155.73,126.04,107.28,96.95,103.85,117.57,122.34,123.19,117.10,107.36,110.57,105.57,109.35
30.09.1997,105.55,107.09,101.96,91.75,97.27,125.27,103.76,125.20,101.71,116.27,158.00,135.05,107.33,96.63,103.89,115.10,125.80,124.38,117.46,109.54,110.65,107.06,114.95
31.12.1997,107.59,107.40,101.83,90.76,96.81,126.61,104.54,128.03,101.47,115.55,151.72,145.24,107.82,96.27,103.82,110.30,128.46,125.80,117.54,109.54,109.37,108.93,121.01
31.03.1998,110.25,108.51,100.88,91.03,96.55,129.03,104.93,131.99,99.58,118.44,130.16,151.10,106.35,95.91,100.82,108.64,131.65,131.27,116.21,112.81,112.84,111.18,124.85
30.06.1998,112.65,108.99,101.75,90.51,96.96,134.41,107.24,135.24,101.94,124.77,116.31,154.45,107.50,95.47,93.73,104.91,135.11,139.36,114.21,116.62,101.44,112.87,127.35
30.09.1998,112.65,113.85,99.73,90.87,96.88,136.29,109.40,138.85,104.54,130.20,96.61,161.53,107.72,95.01,91.56,101.72,139.63,137.93,114.39,119.89,106.50,114.97,130.73
31.12.1998,114.51,113.71,101.15,90.39,96.75,138.44,111.61,140.27,104.07,129.48,93.35,176.17,107.75,94.20,90.53,101.74,143.62,134.36,115.10,121.53,105.14,117.30,130.86
31.03.1999,116.56,115.96,101.66,90.91,96.67,140.59,115.00,142.39,105.25,130.38,95.53,182.53,107.52,93.39,91.96,100.13,149.20,139.60,116.74,123.16,104.08,118.95,130.53
